È¸Â÷,´çÃ·ÀÚ¼ö,´çÃ·±Ý¾×,´çÃ·ÀÚ¼ö,´çÃ·±Ý¾×,´çÃ·ÀÚ¼ö,´çÃ·±Ý¾×,´çÃ·ÀÚ¼ö,´çÃ·±Ý¾×,´çÃ·ÀÚ¼ö,´çÃ·±Ý¾×
725,11,1579217250,47,61600673,1795,1612943,88359,50000,1504907,5000
724,12,1427789813,55,51919630,1833,1557873,90083,50000,1528970,5000
723,8,2114365360,40,70478846,1777,1586469,85141,50000,1412967,5000
722,4,4365422719,46,63266996,1688,1724101,84912,50000,1439078,5000
721,8,2273767360,40,75792246,1607,1886553,84770,50000,1464353,5000
720,14,1233770358,37,77805338,1778,1619122,88260,50000,1505233,5000
719,9,1879581334,58,48609863,2020,1395729,99906,50000,1627784,5000
718,17,926166464,64,41002162,2404,1091572,114614,50000,1595315,5000
717,6,2702433688,47,57498590,1974,1369015,96836,50000,1567530,5000
716,12,1358752157,35,77642981,1743,1559096,88628,50000,1469730,5000
715,6,2605510438,61,42713286,1873,1391090,90747,50000,1503174,5000
714,7,2085131733,46,52883776,2029,1198943,96576,50000,1551993,5000
713,9,1714720917,50,51441628,1791,1436115,87920,50000,1470125,5000
712,4,4034485125,47,57226740,1727,1557416,86066,50000,1449521,5000
711,7,2277413358,44,60385961,1865,1424656,89898,50000,1465123,5000
710,5,2895441150,57,42331011,1990,1212497,102058,50000,1627229,5000
709,14,1165271625,44,61794708,1696,1603165,82305,50000,1385853,5000
708,4,4099552219,52,52558362,1712,1596399,86091,50000,1446865,5000
707,12,1322167313,74,35734252,2006,1318213,94281,50000,1507647,5000
706,4,3831746063,51,50088184,2108,1211811,95376,50000,1531393,5000
705,4,3987206532,49,54247708,1805,1472653,87931,50000,1453654,5000
704,4,3865190344,47,54825395,1906,1351938,95021,50000,1519932,5000
703,5,3235784100,51,52872290,1719,1568637,84194,50000,1416580,5000
702,11,1465091387,46,58391324,1819,1476636,88043,50000,1443954,5000
701,10,1583183175,40,65965966,1659,1590500,81917,50000,1404422,5000
700,8,2082099188,41,67710543,1562,1777294,82874,50000,1414076,5000
699,8,1995411375,50,53210970,1799,1478905,90504,50000,1512397,5000
698,8,1921084125,48,53363448,2088,1226746,97965,50000,1550364,5000
697,10,1531443038,90,28360057,1940,1315673,99698,50000,1615786,5000
696,10,1632054413,44,61820243,1721,1580530,90020,50000,1501952,5000
695,11,1450214830,66,40283746,1979,1343471,95436,50000,1558885,5000
694,10,1555036388,78,33227274,2286,1133739,102474,50000,1581822,5000
693,10,1642763813,43,63673016,1692,1618168,87017,50000,1484420,5000
692,7,2301273697,44,61018621,1770,1516848,87763,50000,1465709,5000
691,6,2839296750,31,91590218,1708,1662352,86063,50000,1455528,5000
690,15,1126507625,34,82831444,1772,1589317,87970,50000,1528472,5000
689,7,2321775911,44,61562241,1809,1497368,90296,50000,1509073,5000
688,9,1967536750,53,55685003,2107,1400715,97676,50000,1610713,5000
687,6,2720029313,38,71579719,1780,1528107,91404,50000,1538380,5000
686,8,1937531719,36,71760435,1863,1386676,91027,50000,1483730,5000
685,11,1494367671,52,52686040,1910,1434385,95302,50000,1576169,5000
684,9,1688815709,62,40858445,1968,1287208,98607,50000,1623161,5000
683,16,1010930883,45,59907016,2704,996974,117974,50000,1700964,5000
682,4,4063713563,56,48377543,1851,1463611,87618,50000,1464978,5000
681,6,2696328938,37,72873756,1441,1871152,73062,50000,1282079,5000
680,14,1110570563,44,58893894,1870,1385739,86441,50000,1413980,5000
679,5,2863005600,54,44182186,1829,1304450,91171,50000,1493041,5000
678,6,2288490188,41,55816834,1855,1233688,93305,50000,1494095,5000
677,8,1921114407,37,69229348,1701,1505871,79827,50000,1330115,5000
676,8,1879726500,63,39782572,1665,1505287,83276,50000,1371921,5000
675,4,3514549032,65,36046657,1806,1297361,88118,50000,1415830,5000
674,8,1770565500,48,49182375,1846,1278849,89646,50000,1465031,5000
673,10,1491453300,35,71021586,1864,1333560,88838,50000,1450769,5000
672,9,1754745000,46,57219946,1629,1615788,80167,50000,1341175,5000
671,4,3722322844,48,51698929,1778,1395697,90364,50000,1519963,5000
670,12,1191725219,39,61114114,2145,1111166,92680,50000,1483948,5000
669,6,2708173188,52,52080254,1949,1389520,93078,50000,1531364,5000
668,5,2991158625,56,44511290,1873,1330824,89414,50000,1452289,5000
667,7,2228764393,40,65005629,1543,1685176,81344,50000,1368363,5000
666,6,2396901063,47,50997895,1947,1231074,93631,50000,1493940,5000
665,4,3643230375,30,80960675,1790,1356883,87227,50000,1430205,5000
664,10,1536801338,44,58212172,1530,1674076,77395,50000,1320082,5000
663,7,2080244143,60,40449192,1627,1491673,84092,50000,1386028,5000
662,8,1689733688,43,52394844,1787,1260761,88493,50000,1426759,5000
661,8,1713025547,63,36254509,1830,1248107,87840,50000,1426883,5000
660,10,1421272575,48,49349743,1951,1214141,88247,50000,1408802,5000
659,11,1336604216,40,61261027,1765,1388352,85028,50000,1396789,5000
658,9,1634031375,38,64501239,1678,1460696,82738,50000,1364069,5000
657,9,1694762792,52,48887389,1562,1627494,78396,50000,1325593,5000
656,2,7330002750,48,50902797,1747,1398589,83772,50000,1385757,5000
655,9,1661439625,41,60784377,1610,1547926,77437,50000,1281655,5000
654,8,1879301391,69,36315003,1787,1402203,77788,50000,1282725,5000
653,14,980958670,56,40873278,1997,1146172,88995,50000,1419408,5000
652,5,3003483525,36,69525082,1504,1664165,75739,50000,1280663,5000
651,8,1855306454,35,70678342,1684,1468968,82567,50000,1365832,5000
650,5,2849298900,45,52764795,1814,1308940,87030,50000,1429743,5000
649,5,2948042100,45,54593373,1689,1454531,80347,50000,1313125,5000
648,7,2120987947,45,54988577,1631,1517159,80986,50000,1318403,5000
647,7,2189725608,44,58060907,1596,1600677,79202,50000,1351926,5000
646,7,2215498393,36,71798560,1522,1698258,77400,50000,1321212,5000
645,4,3696297750,28,88007090,1766,1395356,87873,50000,1444728,5000
644,8,1831451204,49,49835407,1879,1299593,87582,50000,1401744,5000
643,6,2535763625,43,58971248,1525,1662796,84656,50000,1407225,5000
642,12,1251460438,62,40369692,1815,1379020,88406,50000,1465689,5000
641,8,1990074563,50,53068655,1565,1695485,79145,50000,1340371,5000
640,9,1728768834,48,54024027,1639,1582156,85410,50000,1404905,5000
639,4,4061185219,45,60165707,1628,1663058,84861,50000,1439719,5000
638,7,2229403179,41,63438302,1719,1513072,84781,50000,1422596,5000
637,4,3899241094,45,57766535,1637,1587963,82147,50000,1369826,5000
636,8,1832362219,44,55526128,1973,1238292,90830,50000,1461300,5000
635,8,1855587235,35,70689038,1650,1499465,85675,50000,1427626,5000
634,13,1077935106,54,43250483,2208,1057757,101514,50000,1562975,5000
633,12,1217257094,47,51798175,1789,1360825,87613,50000,1430227,5000
632,11,1432587716,52,50507901,1645,1596603,78418,50000,1320223,5000
631,4,3919853532,46,56809472,1676,1559210,85710,50000,1491785,5000
630,3,4836305500,48,50378183,1631,1482620,84380,50000,1420745,5000
629,5,2919433575,34,71554745,1321,1841682,68554,50000,1183752,5000
628,9,1499942875,37,60808495,1628,1382012,80147,50000,1323978,5000
627,10,1352230650,35,64391936,1532,1471096,74824,50000,1243945,5000
626,8,1717871110,45,50899885,1766,1296996,86261,50000,1371217,5000
625,5,2765184675,45,51207124,1654,1393181,82014,50000,1354445,5000
624,5,2763729450,61,37755867,1574,1463220,78840,50000,1309900,5000
623,8,1813702594,35,69093433,1456,1660900,73522,50000,1245962,5000
622,9,1630598292,34,71938160,1629,1501472,77626,50000,1270437,5000
621,6,2359723500,62,38060057,1555,1517508,82843,50000,1336734,5000
620,7,2028283233,44,53780238,1661,1424643,78155,50000,1266599,5000
619,3,4612479375,59,39088809,1712,1347103,83710,50000,1355209,5000
618,5,2881326225,45,53357894,1581,1518726,75243,50000,1260882,5000
617,8,1629701860,43,50533391,1993,1090284,93731,50000,1481805,5000
616,9,1611811250,49,49341161,1700,1422187,81118,50000,1350809,5000
615,9,1535062417,31,74277214,1670,1378799,83981,50000,1383278,5000
614,6,2540975438,46,55238597,1523,1668402,80393,50000,1360707,5000
613,9,1549831209,30,77491561,1538,1511539,77945,50000,1299580,5000
612,11,1181705250,59,36719655,1833,1181921,86228,50000,1364516,5000
611,4,3502706157,47,49683776,1486,1571425,74589,50000,1258998,5000
610,4,3516018375,34,68941537,1398,1676690,71718,50000,1218676,5000
609,2,6339311438,47,44959656,1621,1303581,80472,50000,1300134,5000
608,7,1943530018,32,70857866,1516,1495681,74353,50000,1243159,5000
607,4,3494480907,35,66561542,1448,1608878,73277,50000,1220405,5000
